smiles_id,group_id,smiles
25325_3,C_0,CN(C)CCOP(=O)(O)O
25325_5,O_0,CN(C)CCOP(=O)(O)O
25325_6,P_0,[N]CCOP(=O)(O)O
25325_7,O_0,CCOP(=O)(O)O
25325_8,O_0,CCOP(=O)(O)O
25325_9,O_0,CCOP(=O)(O)O
25629_0,O_0,Oc1cc(O)cc(O)c1
25629_1,C_0,COc1cc(O)cc(O)c1C
25629_2,C_0,CC(=O)c1c(O)cc(O)cc1O
25629_3,C_0,O=c1c(O)coc2cc(O)cc(O)c12
25629_4,O_0,CC(=O)c1c(O)cc(O)cc1O
25629_5,C_0,Cc1oc2cc(O)cc(O)c2c(=O)c1O
25629_6,C_0,C=C(C)c1oc2cc(O)cc(O)c2c(=O)c1O
25629_7,C_0,Cc1cc(=O)c2c(O)cc(O)cc2o1
25629_8,O_0,C=CC(=CC)c1oc2cc(O)cc(O)c2c(=O)c1O
25629_9,C_0,C=c1c(=CC)oc(-c2cc(O)cc(O)c2)c(O)c1=O
25629_10,C_0,C=C1CC(=O)C(O)=C(c2cc(O)c(O)c(O)c2)O1
25629_11,C_0,COC(=C(C)O)c1cc(O)c(O)c(O)c1
25629_12,C_0,C=C(O)c1cc(O)c(O)c(O)c1
25629_13,O_0,Cc1cc(O)c(O)c(O)c1
25629_14,C_1,Cc1cc(O)c(O)c(O)c1
25629_15,O_0,Oc1cccc(O)c1O
25629_16,C_0,C=C(O)c1cc(O)c(O)c(O)c1
25629_17,O_0,Cc1cc(O)c(O)c(O)c1
25629_18,C_0,COC(=C(C)O)c1cc(O)c(O)c(O)c1
25629_19,C_0,C=CC(=CC)c1oc(=C)c(=C(C)O)c(=O)c1O
25629_20,O_0,C=C(C)C1=C(O)C(=O)C(=C)CO1
25629_21,C_0,C=C(C)c1oc2cccc(O)c2c(=O)c1O
25629_22,O_0,C=c1oc(C)c(O)c(=O)c1=C(C)O
25633_0,C_0,C=C(O)C(=CC)OC
25633_1,O_0,COc1cc(C)cc(O)c1O
25633_2,C_0,C=C(O)c1cc(O)c(O)c(OC)c1
25633_3,C_0,COC(=C(C)O)c1cc(O)c(O)c(OC)c1
25633_4,C_0,C=C1CC(=O)C(O)=C(c2cc(O)c(O)c(OC)c2)O1
25633_5,C_0,COC(=C(C)O)c1cc(O)c(O)c(O)c1
25633_6,C_0,C=C(O)c1cc(O)c(O)c(OC)c1
25633_7,O_1,Cc1cc(O)c(O)c(O)c1
25633_8,C_0,COc1cc(C)cc(O)c1O
25633_9,O_0,COc1cccc(O)c1O
25633_10,C_0,C=c1c(=CC)oc(-c2cc(O)cc(O)c2)c(O)c1=O
25633_11,O_0,C=CC(=CC)c1oc2cc(O)cc(O)c2c(=O)c1O
25633_12,C_0,C=C(C)c1oc2cc(O)cc(O)c2c(=O)c1O
25633_13,C_0,Cc1cc(=O)c2c(O)cc(O)cc2o1
25633_14,C_0,COc1cc(O)cc(O)c1C
25633_15,O_0,Oc1cc(O)cc(O)c1
25633_16,C_0,CC(=O)c1c(O)cc(O)cc1O
25633_17,C_0,O=c1c(O)coc2cc(O)cc(O)c12
25633_18,O_0,CC(=O)c1c(O)cc(O)cc1O
25633_19,C_0,Cc1oc2cc(O)cc(O)c2c(=O)c1O
25633_20,C_0,C=C(C)c1oc2cccc(O)c2c(=O)c1O
25633_21,O_0,C=c1oc(C)c(O)c(=O)c1=C(C)O
25633_22,C_0,C=CC(=CC)c1oc(=C)c(=C(C)O)c(=O)c1O
25633_23,O_0,C=C(C)C1=C(O)C(=O)C(=C)CO1
26321_0,O_0,Oc1cccc(O)c1
26321_1,C_0,Oc1cccc(O)c1
26321_2,C_1,Oc1cccc(O)c1
26321_3,C_0,Oc1cccc(O)c1
26321_4,C_0,Oc1cccc(O)c1
26321_5,C_0,Oc1cccc(O)c1
26321_6,O_0,Oc1cccc(O)c1
26321_7,C_0,Oc1cccc(O)c1
26325_0,O_0,Cc1cc(O)cc(O)c1
26325_1,C_0,CCc1cc(O)cc(O)c1
26325_2,C_1,Cc1cc(O)cc(O)c1
26325_3,C_0,CCc1cc(O)cc(O)c1
26325_4,O_0,Cc1cc(O)cc(O)c1
26325_5,C_0,CCCc1cc(O)cc(O)c1
26325_6,C_0,CCCCc1cc(O)cc(O)c1
26325_7,C_0,CCCCCc1cc(O)cc(O)c1
26325_8,C_0,C=CC(=CC)CCCCCC
26325_9,C_0,C=C(C)CCCCCCC
26325_10,C_0,CCCCCCCCC
26325_11,C_0,C=CCCCCCCC
26325_12,C_0,C/C=C\CCCCCC
26325_13,C_0,CC/C=C\CCCCC
